[I 2024-03-22 22:15:10,630] A new study created in memory with name: no-name-b12708b2-213f-413c-a430-9535fe38a0ab
[I 2024-03-22 22:15:26,840] Trial 0 finished with value: 0.5834608116341863 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.5834608116341863.
[I 2024-03-22 22:15:43,033] Trial 1 finished with value: 0.5968295481608175 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 1 with value: 0.5968295481608175.
[I 2024-03-22 22:16:13,995] Trial 2 finished with value: 0.6397804672108077 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:16:46,670] Trial 3 finished with value: 0.5977864859598606 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:16:57,984] Trial 4 finished with value: 0.6097669719341546 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:17:29,468] Trial 5 finished with value: 0.5975162852464465 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:17:56,136] Trial 6 finished with value: 0.5994312124245316 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:18:01,949] Trial 7 finished with value: 0.5899714939343423 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:18:38,662] Trial 8 finished with value: 0.5964483607208065 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:18:50,018] Trial 9 finished with value: 0.637153325193084 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:19:41,305] Trial 10 finished with value: 0.6289474405883075 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:20:12,517] Trial 11 finished with value: 0.6069746765102801 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:20:58,209] Trial 12 finished with value: 0.618035847881049 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:21:15,197] Trial 13 finished with value: 0.578065560532564 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:21:34,170] Trial 14 finished with value: 0.5866294630902746 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:21:50,440] Trial 15 finished with value: 0.6332149721623407 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:22:09,114] Trial 16 finished with value: 0.6047970192861833 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:22:37,426] Trial 17 finished with value: 0.608087598675834 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:22:47,881] Trial 18 finished with value: 0.6167877258801163 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:23:04,801] Trial 19 finished with value: 0.594952368255285 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:23:56,823] Trial 20 finished with value: 0.5875832389145083 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:24:08,372] Trial 21 finished with value: 0.5765195176340687 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:24:41,626] Trial 22 finished with value: 0.5858968623576739 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:25:00,113] Trial 23 finished with value: 0.616998556998557 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:25:55,333] Trial 24 finished with value: 0.6149478114086229 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:26:00,808] Trial 25 finished with value: 0.6032557535343914 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:26:33,212] Trial 26 finished with value: 0.6186339498316034 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:26:49,859] Trial 27 finished with value: 0.594299151502997 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:26:58,989] Trial 28 finished with value: 0.5845772390664031 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:27:47,510] Trial 29 finished with value: 0.5952711066023759 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:27:58,117] Trial 30 finished with value: 0.5972034505063673 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:28:08,643] Trial 31 finished with value: 0.5859344563426362 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:28:25,516] Trial 32 finished with value: 0.6184898280254317 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
