[I 2024-03-20 21:48:59,699] A new study created in memory with name: no-name-d4abc714-6832-4b6f-8646-21e1c5196898
[I 2024-03-20 21:49:54,261] Trial 0 finished with value: 3.7996987819671633 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 3.7996987819671633.
[I 2024-03-20 21:50:54,611] Trial 1 finished with value: 4.125775854587555 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 3.7996987819671633.
[I 2024-03-20 21:51:59,496] Trial 2 finished with value: 3.988515283664068 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 3.7996987819671633.
[I 2024-03-20 21:53:04,196] Trial 3 finished with value: 3.7929213682810463 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 21:54:05,343] Trial 4 finished with value: 3.928123269081116 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 21:55:06,513] Trial 5 finished with value: 4.015651945273081 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 21:56:35,704] Trial 6 finished with value: 4.051749768257141 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 21:58:37,046] Trial 8 finished with value: 4.279167413711548 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 21:59:26,596] Trial 9 finished with value: 4.325216364860535 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:00:29,246] Trial 10 finished with value: 4.414676825205485 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:01:23,578] Trial 11 finished with value: 3.854368257522583 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:02:14,722] Trial 12 finished with value: 3.916956698894501 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:03:04,672] Trial 13 finished with value: 4.379099297523498 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:04:04,659] Trial 14 finished with value: 4.063014984130859 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:05:14,987] Trial 15 finished with value: 4.135568316777547 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:06:06,934] Trial 16 finished with value: 3.8685533106327057 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:07:10,950] Trial 17 finished with value: 3.9996028105417887 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:08:10,847] Trial 18 finished with value: 4.480739641189575 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:09:11,307] Trial 19 finished with value: 4.36866907119751 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:10:03,787] Trial 20 finished with value: 4.552406001091003 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:10:55,818] Trial 21 finished with value: 4.092722988128662 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:11:48,015] Trial 22 finished with value: 3.9929905474185943 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:12:40,304] Trial 23 finished with value: 4.435945379734039 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:13:32,815] Trial 24 finished with value: 3.9858004629611967 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:14:33,155] Trial 25 finished with value: 4.044956286748251 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:15:26,060] Trial 26 finished with value: 4.637584829330445 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:16:18,880] Trial 27 finished with value: 4.424974209070205 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:17:54,180] Trial 28 finished with value: 4.108103432655335 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:18:45,685] Trial 29 finished with value: 4.02339190642039 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:19:44,595] Trial 30 finished with value: 4.109927253723145 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 3 with value: 3.7929213682810463.
[I 2024-03-20 22:20:37,556] Trial 31 finished with value: 3.2313635885715484 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:21:30,413] Trial 32 finished with value: 4.447662580013275 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:22:23,430] Trial 33 finished with value: 3.690811836719513 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:23:16,252] Trial 34 finished with value: 4.122923195362091 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:25:35,119] Trial 36 finished with value: 3.941186423301697 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:26:27,819] Trial 37 finished with value: 4.381041741371154 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:27:19,515] Trial 38 finished with value: 3.9977418224016823 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:28:17,354] Trial 39 finished with value: 3.8632649779319763 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
