[I 2024-03-21 23:02:16,528] A new study created in memory with name: no-name-ec2b763e-7aef-4c6c-bf8c-f5bebffa5c7d
[I 2024-03-21 23:03:20,196] Trial 0 finished with value: 0.4249171880750827 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:04:19,535] Trial 1 finished with value: 0.3728369192048514 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:05:21,665] Trial 2 finished with value: 0.38495793851831 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:06:10,035] Trial 3 finished with value: 0.36773261518413874 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:07:11,990] Trial 4 finished with value: 0.3976528442317916 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:08:14,292] Trial 5 finished with value: 0.3444933978989707 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:09:25,915] Trial 6 finished with value: 0.36006225628516647 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:10:25,491] Trial 7 finished with value: 0.3574294745502176 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:11:37,206] Trial 8 finished with value: 0.4026611915776003 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:12:37,630] Trial 9 finished with value: 0.3704661764104489 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:13:30,767] Trial 10 finished with value: 0.35644442281235506 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:14:42,749] Trial 11 finished with value: 0.3935353535353535 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:16:16,459] Trial 12 finished with value: 0.3717030991024799 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:17:05,671] Trial 13 finished with value: 0.4125102898477512 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:18:06,385] Trial 14 finished with value: 0.3901731533000883 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:19:39,807] Trial 15 finished with value: 0.3733516160662975 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:20:29,629] Trial 16 finished with value: 0.3945191976925723 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:22:03,894] Trial 17 finished with value: 0.3972878380830149 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:23:07,928] Trial 18 finished with value: 0.38289691768590256 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:23:57,234] Trial 19 finished with value: 0.38957977387340265 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:25:33,492] Trial 20 finished with value: 0.3890862701291249 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:26:35,714] Trial 21 finished with value: 0.3798629303273266 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
