[I 2024-03-23 10:04:40,835] A new study created in memory with name: no-name-592f1f44-dbdf-4fd1-af17-1dc5a5448f2b
[I 2024-03-23 10:04:55,202] Trial 0 finished with value: 3.8626944959163665 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 3.8626944959163665.
[I 2024-03-23 10:05:09,595] Trial 1 finished with value: 3.929263007640839 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 3.8626944959163665.
[I 2024-03-23 10:05:27,441] Trial 2 finished with value: 3.698707528909048 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 2 with value: 3.698707528909048.
[I 2024-03-23 10:05:43,604] Trial 3 finished with value: 3.8059963297843935 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 3.698707528909048.
[I 2024-03-23 10:06:31,519] Trial 4 finished with value: 3.7114801383018494 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 3.698707528909048.
[I 2024-03-23 10:06:48,263] Trial 5 finished with value: 3.921944057941437 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 2 with value: 3.698707528909048.
[I 2024-03-23 10:07:04,899] Trial 6 finished with value: 3.684679960012436 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 6 with value: 3.684679960012436.
[I 2024-03-23 10:07:10,416] Trial 7 finished with value: 4.035915720462799 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 6 with value: 3.684679960012436.
[I 2024-03-23 10:07:43,364] Trial 8 finished with value: 3.816729011535645 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 6 with value: 3.684679960012436.
[I 2024-03-23 10:08:16,209] Trial 9 finished with value: 3.6558455371856686 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:08:25,149] Trial 10 finished with value: 4.103260763486226 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:08:40,921] Trial 11 finished with value: 3.833446667194366 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:08:58,213] Trial 12 finished with value: 3.805101255575816 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:09:14,558] Trial 13 finished with value: 3.781601083278656 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
