Package,Version,License
{\rtf1\ansi\ansicpg1252\cocoartf2759
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

"\f0\fs24 \cf0 ""asttokens""",2.4.1,Apache 2.0\
accelerate,0.19.0,Apache Software License\
diffusers,0.16.1,Apache Software License\
distro,1.9.0,Apache Software License\
huggingface-hub,0.14.1,Apache Software License\
importlib-metadata,6.8.0,Apache Software License\
importlib-resources,6.1.1,Apache Software License\
nltk,3.8.1,Apache Software License\
opencv-python,4.8.1.78,Apache Software License\
pipreqs,0.4.13,Apache Software License\
regex,2023.5.5,Apache Software License\
requests,2.31.0,Apache Software License\
requests-file,1.5.1,Apache Software License\
requests-toolbelt,1.0.0,Apache Software License\
tokenizers,0.13.3,Apache Software License\
tornado,6.3.3,Apache Software License\
transformers,4.28.1,Apache Software License\
tzdata,2023.3,Apache Software License\
cryptography,41.0.5,Apache Software License; BSD License\
packaging,23.2,Apache Software License; BSD License\
python-dateutil,2.8.2,Apache Software License; BSD License\
PySocks,1.7.1,BSD\
anaconda-anon-usage,0.4.3,BSD\
clyent,1.2.2,BSD\
conda-token,0.4.0,BSD\
conda-verify,3.1.1,BSD\
ply,3.11,BSD\
torchvision,0.15.2a0,BSD\
matplotlib-inline,0.1.6,BSD 3-Clause\
Jinja2,3.1.2,BSD License\
MarkupSafe,2.1.3,BSD License\
Pygments,2.17.2,BSD License\
anaconda-client,1.12.1,BSD License\
anaconda-project,0.11.1,BSD License\
appnope,0.1.3,BSD License\
boltons,23.0.0,BSD License\
click,8.1.7,BSD License\
colorama,0.4.6,BSD License\
comm,0.1.4,BSD License\
conda,23.11.0,BSD License\
conda-build,3.27.0,BSD License\
conda-content-trust,0.2.0,BSD License\
conda-libmamba-solver,23.11.1,BSD License\
conda-pack,0.7.1,BSD License\
conda-repo-cli,1.0.75,BSD License\
conda_package_streaming,0.9.0,BSD License\
contourpy,1.2.0,BSD License\
cssselect,1.2.0,BSD License\
cycler,0.12.1,BSD License\
decorator,5.1.1,BSD License\
fastjsonschema,2.19.0,BSD License\
feedparser,6.0.10,BSD License\
fsspec,2023.10.0,BSD License\
fsspec,2023.5.0,BSD License\
idna,3.4,BSD License\
ipykernel,6.25.2,BSD License\
ipython,8.17.2,BSD License\
